"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000115548.16",100.9337418387,-1.58695805755517,0.303177030928486,5.62657136111822e-09,4.97766656709493e-06,"KDM3A","55818"
"ENSG00000087086.14",2213.06337934289,1.14615962087353,0.21239940563764,5.87426489284495e-09,4.97766656709493e-06,"FTL","2512"
"ENSG00000159399.9",308.579374594321,-1.61363286588773,0.317009367216242,7.7306573289663e-09,6.22317914981788e-06,"HK2","3099"
"ENSG00000265735.2",7108.28974311495,4.13421887802784,1.00680530080287,1.02223493806789e-08,7.83713452518712e-06,NA,NA
"ENSG00000159167.11",66.9576562284145,-1.2164626130752,0.238302002999585,1.21590184521926e-08,8.89819077637729e-06,"STC1","6781"
"ENSG00000198830.10",298.624843783341,0.88356946674923,0.17750589753898,3.4823781263087e-08,2.43766468841609e-05,"HMGN2","3151"
"ENSG00000143847.15",24.3238738936079,-2.81776254753223,0.661144570275406,5.47279122380903e-08,3.67133077930522e-05,"PPFIA4","8497"
"ENSG00000079739.16",120.235022882992,-1.00500988467823,0.213276338378467,1.15414217467773e-07,7.43267560492461e-05,"PGM1","5236"
"ENSG00000247095.2",8.79182586256622,-2.10751295625699,0.469616201600899,1.77565674792245e-07,0.000109954129390583,"MIR210HG","100506211"
"ENSG00000104765.15",93.1537492890687,-0.884673092989648,0.192941526654326,2.01679890663284e-07,0.000120260971839958,"BNIP3L","665"
"ENSG00000258232.2",1.16375993347809,-0.0039613744631612,0.207336970510433,2.1031310890092e-07,NA,NA,NA
"ENSG00000134107.4",23.5511670100683,-2.07328198246271,0.481887138744859,2.50751378113026e-07,0.00014418204241499,"BHLHE40","8553"
"ENSG00000127329.15",14.1690608199392,-2.18134725116958,0.501982580896033,3.06895362827941e-07,0.000170379839363098,"PTPRB","5787"
"ENSG00000114480.12",19.824591300488,-1.55699535141227,0.359276422262359,3.39259193910782e-07,0.000182069100732119,"GBE1","2632"
"ENSG00000167552.13",743.995927271106,-0.806206172708281,0.175644045549612,3.70936012742138e-07,0.000192647413069304,"TUBA1A","7846"
"ENSG00000121904.17",53.9581321807453,-1.19037919092374,0.282759246495142,4.76905216172464e-07,0.000235993473431804,"CSMD2","114784"
"ENSG00000161958.10",25.981576826315,-1.72562807448991,0.410483611758564,4.83713330636618e-07,0.000235993473431804,"FGF11","2256"
"ENSG00000101439.8",9.86999704879344,1.48766308958202,0.343353757069691,5.03907012861898e-07,0.000238614791384605,"CST3","1471"
"ENSG00000170315.13",1037.26883417064,0.545965391578648,0.118329242262913,5.65959848528338e-07,0.000260341530323035,"UBB","7314"
"ENSG00000222973.1",6.33813978534327,3.36854886739544,0.947415112697798,6.04859727093319e-07,0.000270506711283401,NA,NA
"ENSG00000214193.10",11.4530896734343,-1.33089044379898,0.30316962054578,6.56096052136447e-07,0.000285490444308021,"SH3D21","79729"
"ENSG00000147852.15",138.762628463698,-1.00546184583285,0.231928432187438,7.56146812298189e-07,0.000320367465210548,"VLDLR","7436"
"ENSG00000061656.9",3.63220033739781,-1.99932149731502,0.474543485649892,7.97909242345734e-07,0.000329393302609393,"SPAG4","6676"
"ENSG00000199363.1",13.2114959932085,-0.0844283118414566,0.233278071430814,9.85652408006743e-07,0.000396725094222714,"SNORA63E","109617007"
"ENSG00000149925.18",1132.83099261503,-0.891854050585775,0.210661836734652,1.14668216227584e-06,0.000450282507625392,"ALDOA","226"
"ENSG00000125901.5",58.9744869964361,1.07004205599463,0.256052881758298,1.45816724205168e-06,0.000558964109453142,"MRPS26","64949"
"ENSG00000242485.5",60.0112086635967,1.0696123286323,0.258358837571043,1.55388180244591e-06,0.00058180225626463,"MRPL20","55052"
"ENSG00000116161.17",256.421859833544,1.93752830443183,0.5647933592495,1.98699981411511e-06,0.000727061295619394,"CACYBP","27101"
"ENSG00000161016.17",2081.58502645575,0.695138571813238,0.166223227747168,2.08312113999084e-06,0.000745294452307834,"RPL8","6132"
