"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000265236.1",16092.3487316732,-7.01334111467469,0.579798045943671,3.80430230321645e-39,9.88476314031837e-37,"SNORD84","692199"
"ENSG00000206775.1",9142.5732408487,-7.06399878180987,0.612860618590339,5.03403382847327e-39,1.29122967700339e-36,"SNORD37","26812"
"ENSG00000207279.1",161370.382788246,-7.03166595773657,0.635518503801777,5.1915001224277e-39,1.31476383480267e-36,"SNORD116-24","100033435"
"ENSG00000202503.1",35655.083851329,-6.92002924102003,0.619749208862408,9.40226155787867e-39,2.35138808735598e-36,"SNORD34","26817"
"ENSG00000238300.1",846.503468347825,-7.76500363631968,0.632997113322375,9.58084726568094e-39,2.36646927462319e-36,"SNORD121B","101340252"
"ENSG00000212534.1",1560.74293777644,-7.19112864953473,0.612907856302859,1.10818745005459e-38,2.70384223332222e-36,"SNORD70","692110"
"ENSG00000238886.1",1345.48230104263,-8.69806020389973,0.713103908327488,2.2499946596427e-38,5.42357146451464e-36,"SNORD121A","100113379"
"ENSG00000210194.1",93137.2884816231,-6.76413772856886,0.584323257065358,2.88676253817069e-38,6.87564977395013e-36,NA,NA
"ENSG00000152661.8",796.965451264014,-1.30366816426759,0.102997649087838,4.67966387371398e-38,1.10148276613407e-35,"GJA1","2697"
"ENSG00000254341.2",86114.8224604761,-7.59211137549863,0.688057763646468,6.38609223361818e-38,1.48565752695348e-35,"SNORD87","641648"
"ENSG00000199436.1",7771.64722129196,-6.98692245933542,0.602792227330601,7.75751287773923e-38,1.78396046143596e-35,"SNORD9","692053"
"ENSG00000092820.17",1856.29524398457,2.7574326801386,0.228807679895285,9.57794992014943e-38,2.17756868241397e-35,"EZR","7430"
"ENSG00000283551.1",3804.0534357745,-7.31204036711498,0.590645123774657,2.20645084376123e-37,4.96005191361021e-35,"SNORD98","692211"
"ENSG00000201882.1",2151.28695177734,-7.34644804976073,0.623768503998998,2.50251296450972e-37,5.56308632010512e-35,NA,NA
"ENSG00000255717.6",78368.1325852734,-6.08984878639881,0.531181354952037,3.37339320966019e-37,7.41664592809576e-35,"SNHG1","23642"
"ENSG00000209082.1",4977.60654978699,-6.90012281128134,0.628008276864461,6.58023316636307e-37,1.43098614086332e-34,NA,NA
"ENSG00000207197.1",20288.9780118958,-7.08312514008553,0.614609612245102,7.75412716861603e-37,1.66813787379033e-34,"SNORD116-12","100033424"
"ENSG00000210151.2",4770.06876659244,-6.69570100282732,0.588852342755989,1.57764319096444e-36,3.35786248102399e-34,"MIR12136","113219467"
"ENSG00000280496.1",123143.73047207,-6.91483048796895,0.582331328557483,2.11865678933396e-36,4.46189119833732e-34,"SNORA17B","677824"
"ENSG00000275996.1",90045.5489970068,-6.66293452829759,0.585228360297857,3.36821181660305e-36,7.01956393903929e-34,"SNORD27","9301"
"ENSG00000238917.1",97354.0609914873,-6.6940669926517,0.596468550926511,2.00871295753396e-35,4.14312578777133e-33,"SNORD10","652966"
"ENSG00000235408.5",6910.38135379343,-5.33706342845267,0.452220554398207,2.09497585544696e-35,4.27695734080891e-33,"SNORA71B","26776"
"ENSG00000199574.1",3464.99861086305,-9.19048879154326,0.789277905218527,2.87506999850126e-35,5.81025509697118e-33,"SNORD18C","595100"
"ENSG00000222937.1",814.168553152045,-8.81006819281228,0.754417767477671,2.98530944393448e-35,5.97270860447971e-33,"SNORD63B","109617013"
